Topic,Count,Name,Representation,Representative_Docs
9,397,9_doodles_sketches_wips_commissioned,"['doodles', 'sketches', 'wips', 'commissioned', 'finished', 'artwork', 'drawings', 'art', 'illustrations', 'pieces']","['My art, sketches and doodles', 'Doodles and sketches, including WIPs!', 'Here are my Doodles! (Sketches, Doodles, WIPS...)']"
10,350,10_blueskyfeedcreatorcom_blueskyfeedscom_made_at,"['blueskyfeedcreatorcom', 'blueskyfeedscom', 'made', 'at', 'bluesky', '100devs', 'feeds', 'feed', 'revpit', 'this']","['OK, just admit it, you are either openly or secretly addicted to this TLC show. \nWill the couples survive or will the relationships end? What are they fighting about now? Enjoy the chatter. // Made at BlueskyFeeds.com', 'This is the original 90 Day Fiancé Bluesky feed.\nOK, just admit it, you are either openly or secretly addicted to this TLC show. \nWill the couples survive or will the relationships end? What are they fighting about now? Enjoy the chatter.', 'A Feed for #GenHour created with BlueSky Feed Creator as an alternative to the original Feed - which will work better? Displays posts containing the hashtag #GenHour, for following or catching up with the weekly #genealogy chat taking place Thursdays at 8pm UK time.\n\nBlueskyFeedCreator.com']"
11,340,11_skyfeed_twitch_youtube_skyfeedapp,"['skyfeed', 'twitch', 'youtube', 'skyfeedapp', 'stream', 'videos', 'private', 'streamers', 'video', 'clips']","['Twitch Feed', 'Twitch stream related feed', 'made with skyfeed']"
12,290,12_booksky_books_book_fiction,"['booksky', 'books', 'book', 'fiction', 'reading', 'readers', 'authors', 'zine', 'literary', 'reviews']","['A #booksky feed for discussing and reviewing your favorite historical fiction books! Use ⏳📚 or 📚⏳ to post to feed. More #booksky feeds 👉🏻 booksky.club/list', ""A feed for anyone who likes reading and books. Share what you're reading with us by using 💙📚 or #booksky in your posts. More #booksky feeds 👉🏻 booksky.club/list"", ""A feed for anyone who likes reading and books. Share what you're reading with us by using 💙📚 or #booksky in your posts. More #booksky feeds 👉🏻 booksky.club/list""]"
13,262,13_collection_art_3d_my,"['collection', 'art', '3d', 'my', 'posted', 'artworks', '2d', 'reposts', 'ive', 'collected']","['A collection of all my art posts.', 'a collection of all my art posts 🌈', 'Collection of all my art posts']"
14,256,14_gaming_games_game_video,"['gaming', 'games', 'game', 'video', 'gamedev', 'dev', 'steam', 'indie', 'nintendo', 'sbox']","['A feed of all things gaming!', 'For all the gaming content', 'Everything about gaming & video games']"
15,249,15_programming_software_python_web,"['programming', 'software', 'python', 'web', 'language', 'linux', 'devops', 'homelab', 'selfhosting', 'coding']","['A feed with programming related posts.', 'Posts related to the Go programming language.', 'Posts about the programming language.']"
16,242,16_news_journalists_uk_journalism,"['news', 'journalists', 'uk', 'journalism', 'politics', 'sources', 'breaking', 'reuters', 'independent', 'times']","['News feed', 'News', 'news']"
17,241,17_art_posted_artinquirycom_my,"['art', 'posted', 'artinquirycom', 'my', 'artwork', 'artrelated', 'artists', 'ive', 'forge', 'so']","['A feed for my art posts.', 'Feed of my art posts', 'Feed for all my art posts!']"
18,226,18_football_fc_league_united,"['football', 'fc', 'league', 'united', 'soccer', 'club', 'cup', 'rugby', 'match', 'premier']","['This feed is all about football! Stay updated with the latest news, match updates, and transfer gossip from the world of football', 'This feed will include posts about football news', 'Top discussions/news about soccer/football⚽️']"
19,220,19_httpsbluefactsappfeedbuilder_controversies_create_political,"['httpsbluefactsappfeedbuilder', 'controversies', 'create', 'political', 'own', 'legal', 'commentary', 'discussing', 'covering', 'debates']","['Posts covering investigations, legal actions, and political controversies involving Jack Smith in high-profile cases.\n\nCreate your own feed with https://bluefacts.app/feed-builder', 'Posts discussing controversies and political commentary surrounding Homan, including critiques of policies and public statements.\n\nCreate your own feed with https://bluefacts.app/feed-builder', 'Posts discussing controversies, political actions, and commentary involving the U.S. political figure Mike Johnson.\n\nCreate your own feed with https://bluefacts.app/feed-builder']"
20,205,20_bluesky_on_squamish_antidoping,"['bluesky', 'on', 'squamish', 'antidoping', 'gen', 'systems', 'design', 'algorithm', 'blueskyfeedcreatorcom', 'accounts']","['Get the latest news on BlueSky', 'A list of bluesky posts', 'My posts about Bluesky']"
21,195,21_ps5pro_nekoshowgun_synduality_hoshiyomi,"['ps5pro', 'nekoshowgun', 'synduality', 'hoshiyomi', 'photographic', 'japanese', 'monochrome', 'images', 'thecomersios', 'appspower']","['琵琶は中央アジアからシルクロードを通って、日本に伝来した楽器である。\nThe biwa is musical instrument that came to Japan from Central Asia via the Silk Road.\n 奈良時代には伝来し、現代までに日本の風土に合わせた多種多様な琵琶がある。\nIt was introduced in the Nara period, and up to the present day there are a wide variety of biwa that are tailored to the Japanese climate.', 'Rise of the Tomb Raiderだよ！\n#RiseoftheTombRaider /PS5Pro', 'Tomb Raider Definitive Editionだよ！\n#TombRaiderDefinitiveEdition /PS5Pro']"
22,190,22_blueskyfeedscom_made_at_xpan,"['blueskyfeedscom', 'made', 'at', 'xpan', 'ultralight', 'mew', 'probando', 'france', 'wholesale', 'costco']","['A collection of everything Xoan (Hasselblad Xpan) #xpan #hasselbladxpan #fujitx1 //Made at BlueskyFeeds.com', ""Inspired by Bob Gourley's list at the bad place // Made at BlueskyFeeds.com"", 'Everything on Bluesky about Costco Wholesale and Kirkland Signature products. \nPosts, pics, cool finds, etc. \n\nNo affiliation with Costco Wholesale. This is a fan ran and automated feed // Made at BlueskyFeeds.com']"
23,187,23_blueskyfeedcreatorcom_listy_otters_girls,"['blueskyfeedcreatorcom', 'listy', 'otters', 'girls', 'automation', '6s', '5cp', 'wax', 'choo', 'lesbian']","['The gang is back at it again, moving forward in love... but moving backwards in friendship.\n\nBlueskyFeedCreator.com', ""Jason Chambers and Cody Vatore, brothers that don't know the other exist as they face the highs and lows of love, family and acceptance.\n\nBlueskyFeedCreator.com"", 'make sure to use these terms or tags in your posts to be on the thread (besides 6s, sides, and 5cp they are strict #) :\r\n#competitiveTF2 #comptf2 #6s #sixes #4v4Passtime #5CP #RGLgg #etf2l #ozfortress #asiafortress #CollegiateTF2\n\nBlueskyFeedCreator.com']"
24,179,24_nothing_hello_debugging_best,"['nothing', 'hello', 'debugging', 'best', 'shite', 'me', 'dumb', 'time', '123', 'worse']","['Nothing but me me me', 'For debugging~ Nothing to see here!', 'For debugging~ Nothing to see here!']"
25,178,25_plant_plants_botany_reef,"['plant', 'plants', 'botany', 'reef', 'science', 'gardening', 'coral', 'biology', 'soil', 'trees']","['A Feed to compile posts on the history of plant science. Hashtags indexed:\n\n#PlantScienceHistory|#PlantSciHis|#HistoricalPlantScience|#PlantScienceClassics|#HistPlantBio|#HistBioPlant\n\nPlant Science Plant Biology', 'A quick feed hoping to aggregate all plant science, plant biology, botany, and agronomy posts on Bluesky!  Remember to tag your post with both the 🌾 and 🧪emojis!\nThese words will also tag your post in the feed: plant biology, agronomy, botany, plant science, chloroplast, photosynthesis, chlorophyll', 'Feed about Botany and Plant Research.']"
26,177,26_surfsocial_created_powered_flipboard,"['surfsocial', 'created', 'powered', 'flipboard', 'with', 'surf', 'surffeeds', 'voices', 'contribute', 'news']","['試験運用: fedibirdハッシュタグを含む投稿です\n\nCreated with surf.social', 'Latest tech news\n\nCreated with surf.social', 'news\n\nCreated with surf.social']"
27,175,27_comic_comics_coop_pages,"['comic', 'comics', 'coop', 'pages', 'strip', 'batman', 'librarypass', 'book', 'read', 'graphic']","['Feed Comics', 'A feed for all of my comics!', 'Feed of the comic']"
28,166,28_art_momoko_peach_burriburis,"['art', 'momoko', 'peach', 'burriburis', 'traditional', 'artonly', 'lopez', 'charcoal', 'feed', 'paintings']","[""Salier's Art Feed. <3"", 'Art Feed', ""Pour les amoureux de Peach Momoko et de son art !\nPour alimenter le feed rien de plus simple : Écris juste Peach Momoko dans ton post\n\nFor the Peach Momoko lovers !\nTo feed this fees, it's simple : Just write Peach Momoko in your Post""]"
29,155,29_gay_romance_bdsm_bondage,"['gay', 'romance', 'bdsm', 'bondage', 'femdom', 'kinky', 'dark', 'porn', 'bdsmbabesbskysocial', 'kink']","['Gay Porn World', 'Discover for Gay.', 'The current most liked gay and gay porn posts. Use #gay and #gayporn to show up in feed.']"
30,151,30_black_donate_blacksky_blueskyfeedcreatorcom,"['black', 'donate', 'blacksky', 'blueskyfeedcreatorcom', 'space', 'add', 'desert', 'educated', 'culture', 'safe']","['An algorithm showcasing posts by Black users on the network, specifically young adults.\n\nfollow this feed to interact and connect with your new potential mutuals.\n\nDisclaimer [to detect black users, the bot scans for the n word, heres my take on the original blacksky feed, heres blacksky 2]', 'Black Readers and Black Authors celebrating BLACK books!\r\n\r\nUse #BlackBookSky to add to the feed\n\nBlueskyFeedCreator.com', 'Books by Black authors']"
31,149,31_ai_intelligence_artificial_machine,"['ai', 'intelligence', 'artificial', 'machine', 'learning', 'tech', 'innovation', 'generative', 'automation', 'ml']","['Android Dreams\nPost using #android_dreams\nA feed about AI (Artificial Intelligence), AGI (Artificial General Intelligence), SAGI (Super Artificial General Intelligence) and other posts about human, machine intelligence, or other lifeforms, e.g., cephalopods, mammals, etc..', 'Artificial intelligence and machine learning', 'Posts with AI']"
32,147,32_artists_fashion_blueskyfeedcreatorcom_blueskyfeedscom,"['artists', 'fashion', 'blueskyfeedcreatorcom', 'blueskyfeedscom', 'coloring', 'art', 'bsky', 'made', 'at', 'wwwbskyart']","['Modern Fashion AU Feed! a specific crossover au where fandom characters live in a modern world in fashion! // Made at BlueskyFeeds.com', 'Modern Fashion AU Feed! a specific crossover au where fandom characters live in a modern world in fashion! // Made at BlueskyFeeds.com', ""Welcome to the official Bluesky Fashion Community! 🪡🦋🤍\n\nThis feed is for anyone who loves and is interested in fashion! Come and connect with others and post anything fashion. \n \nFor visibility, add #fashionsky to your posts. Don't forget to like, pin, & share the feed! ❤️📌↻\n\n⬇️ Click & see who liked!""]"
33,146,33_mutuals_replies_people_follow,"['mutuals', 'replies', 'people', 'follow', 'quote', 'miss', 'friends', 'reply', 'listuserdidmutuals', 'reposts']","['mutuals without reposts', 'Mutuals, ""original"" posts only, no replies in the last 3 hours', 'mutuals with replies']"
34,136,34_travel_cruise_planning_vacation,"['travel', 'cruise', 'planning', 'vacation', 'attractions', 'tourist', 'hiking', 'trail', 'climbing', 'cities']","['Planning a vacation to Asia?  Discover the most popular cities, iconic landmark and top tourist attractions in Japan, China, Hong Kong and Singapore. \n\nStart planning your vacation today!', 'Planning a vacation to Australia or New Zealand?  Discover the most popular cities, iconic landmarks, top tourist attractions and some practical travel information. Cities covered: Sydney, Melbourne and Wellington.', 'Planning a vacation to Canada?  Discover the most popular cities, iconic landmarks, top tourist attractions and some practical travel and cruise info.  Popular cities include: Vancouver, Victoria, Ottawa, Montreal, Quebec City and Halifax.']"
35,135,35_pokemon_pokmon_shiny_duel,"['pokemon', 'pokmon', 'shiny', 'duel', 'aiyoku', 'master', 'yugioh', 'anime', 'hyouza', 'namjin']","['a feed containing all of my pokemon art', 'Pokemon Feed - posts containing pokemon or pokémon', 'For my pokemon related posts!']"
36,134,36_hashtag_hashtags_twwm_tagged,"['hashtag', 'hashtags', 'twwm', 'tagged', 'tfidf', 'following', 'om', 'pulls', 'hastags', 'tag']","['This is an automatic feed that collects rwrb fics using the tag #RWRBFic and #RWRBficrec. Use one of those tags and your post will automatically appear here—quotes and replies excluded. Sister feed to rwrb!wip. Icon by @shimirart.', 'This is an automatic feed that collects rwrb wips using the tag #RWRBwip. Use that tag and your post will automatically appear here—quotes included, replies excluded. Sister feed to rwrb!fics. Icon by @shimirart.', 'TWWM and Esks are part of an ARPG created by Witherlings@da.\nSearches past 7 days. Uses input list ""TWWM"". Searches for anything tagged #twwm, or mentions ""twwm"", ""Those Who Went Missing"", ""Witherlings"" in post text or alt text.\n\nHeavy work in progress! 🌱']"
37,129,37_tagged_fursona_art_artwork,"['tagged', 'fursona', 'art', 'artwork', 'pixel', 'pixelart', 'artists', 'animation', 'iad', 'chappell']","['all my posts tagged #art', 'All of my art (tagged with 👻🦈)', 'All my art tagged with #art!']"
38,128,38_cooking_recipes_food_recipe,"['cooking', 'recipes', 'food', 'recipe', 'baking', 'meals', 'delicious', 'bread', 'foodsky', 'culinary']","['Explore the delicious world of Food Blogging! Get recipes, cooking tips, and culinary inspiration to elevate your kitchen game.', 'Just recipes!  \nUsing tags like #recipe, #baking, #cooking, etc\n\n(ver 20250914.1)', 'Cooking and Food.']"
39,127,39_art_my_artwork_just,"['art', 'my', 'artwork', 'just', 'bark', 'personal', 'mine', 'painted', 'feed', 'clean']","['A feed for my art!', 'Feed for my art', 'a feed for my art']"
40,124,40_blue_sky_journalists_news,"['blue', 'sky', 'journalists', 'news', 'unfiltered', 'industry', 'bluesky', 'fpl', 'events', 'blueskyfeedcreatorcom']","['History in your Blue Sky feed', 'The top posts by BLUE influencers on Blue Sky over the past 3 hours. Posts with the most discussion and replies on top.', 'The top posts by BLUE influencers on Blue Sky over the past 24 hours. Enjoy!']"
41,123,41_cats_dogs_animals_cute,"['cats', 'dogs', 'animals', 'cute', 'cat', 'corgi', 'drones', 'dog', 'guinea', 'snaketember']","['Cute animals feed', 'Cute animals feed', 'A feed about cats and dogs']"
42,122,42_conference_cybersecurity_tech_2025,"['conference', 'cybersecurity', 'tech', '2025', 'security', 'industry', 'annual', 'technology', '2024', 'spy']","['Feed tracking all mentions of the #ic2s2 2025 conference', 'Feed for 2024 ER&L Conference to aggregate all posts for conference attendees', 'The latest stories and updates on technology and cybersecurity.']"
43,122,43_knitting_crochet_patterns_sewing,"['knitting', 'crochet', 'patterns', 'sewing', 'yarn', 'embroidery', 'fiber', 'knit', 'stitch', 'pattern']","['Crochet & Knit feed 2.\n\nFeed that only shows photos of actual crochet and knitting projects. All photos have alt text for accessibility.\n\nPicks up the usual craft emojis 🧶 AND only posts with these terms in Alt Texts: \nCrochet\nKnit\nTunisian crochet', 'My knitting, crochet, and other craft projects', 'Feed for people who love weaving, knitting, crochet, embroidery, and other fiber arts.']"
44,117,44_ttrpg_ttrpgs_games_steampunk,"['ttrpg', 'ttrpgs', 'games', 'steampunk', 'game', 'sheith', 'rpg', 'dungeon', 'apocalypse', 'pathfinder']","['A test feed for the TTRPG Folks feed.', 'A comprehensive TTRPG feed, including:\n\n- Blades in the Dark\n- Call of Cthulhu\n- Dungeons & Dragons\n- Dungeon Crawl Classics\n- Dungeon World\n- Pathfinder\n- Powered by the Apocalypse\n- Old School Renaissance\n- Shadowdark\n- Starfinder\n- Traveller\n- Vampire: the Masquerade\n\nAmong others.', 'TTRPG feed']"
45,113,45_commonly_crossing_themed_nightcafe,"['commonly', 'crossing', 'themed', 'nightcafe', 'wednesday', 'day', 'nice', 'tuesday', 'dgg', 'tag']","['Posts with Thursday themed hashtags commonly used for nice photos. Currently #InsectThursday #Thursgate #ADoorableThursday #Threesday #TallTreeThursday #BridgesThursday #IronworkThursday #ThursJay #OrchidThursday #ThursdayBins #ThursdayChairs\r\n(HumansOfBluesky and UrbanGaze not included)', 'Posts with Wednesday themed hashtags commonly used for nice photos. Currently #RoseWednesday #WaterWednesday #WallsOnWednesday #WindowsOnWednesday #WaterfallWednesday #WordlessWednesday #WoodpeckerWednesday #WaderWednesday #WildlifeWednesday #WednesdayWindows #WindowsWednesday', ""Posts with Friday themed hashtags commonly used for nice photos. Currently #FlowersOnFriday #FlowerFriday #FloralFriday #FungiFriday #FacadeFriday #FootpathFriday #ForestFriday #FingerpostFriday #PharosFriday #FerrousFriday #FeatheredFriday #FlyDay\r\n(Friday #scape is not included, it's too big.)""]"
46,110,46_sfw_suggestive_rainworld_art,"['sfw', 'suggestive', 'rainworld', 'art', 'artwork', 'fanart', 'hollow', 'fan', 'character', 'chainmaille']","['all my SFW art!', 'A feed of my sfw art!', 'feed of all my sfw art 👔']"
47,107,47_cat_cats_pictures_pics,"['cat', 'cats', 'pictures', 'pics', 'pets', 'videos', 'kitties', 'adorable', 'kittens', 'enjoy']","['Cat Videos - Enjoy videos of #cats including pets, street cats, and big cats! 😺 Based on cat-related keywords, hashtags, alt text, and ML classification.\r\n\r\nFiltered to remove art, spam, NSFW, spam, reposted content, and other irrelevant videos.\r\n\r\n💡Discover - mix of trending and new posts. Created w 🐮', 'Cat Videos - Enjoy videos of pet #cats, street cats, and big cats! 😺 Based on cat-related keywords, hashtags, and alt text.\r\n\r\nFiltered to remove art, spam, NSFW, reposted content, and other irrelevant videos. \r\n\r\n🆕 New - chronological posts. Feed created with @graze.social 🐮', 'Cat Pictures - Enjoy pictures of #cats including pets, street cats, and big cats! 😺 Based on cat-related keywords, hashtags, alt-text, and ML classification.\r\n\r\nFiltered to remove art, NSFW, spam, offensive, and other irrelevant content.\r\n\r\n🆕New - chronological posts. Feed created with @graze.social 🐮']"
48,107,48_gallery_art_place_artwork,"['gallery', 'art', 'place', 'artwork', 'mks108', 'my', 'here', 'enjoy', 'stored', 'see']","['My art gallery 🎨', 'My art gallery! 🎨🐇', 'My art gallery']"
49,103,49_queer_trans_lgbtq_lgbtqia,"['queer', 'trans', 'lgbtq', 'lgbtqia', 'gay', 'sapphic', 'lesbian', 'transgender', 'lgbt', 'books']","['Queer book reviews from the past week. To have your review included, use #BookReview and at least one of these terms: Sapphic, Lesbian, Achillean, Gay, Trans, Queer.', 'a feed dedicated for queer representation in the fandom. Queer oc, queer art, queer shipping, queer writing - anything! \nall queer is welcomed, mlm, wlw, bi/pan, non binary, trans, all queer! \n\n#bg3queer', 'A feed dedicated to queer Vermont. To be included, posts must include VT or Vermont and either gay, queer, lesbian, trans, LGBT, or LGBTQIA+']"
50,103,50_cycling_bike_bikesky_bikes,"['cycling', 'bike', 'bikesky', 'bikes', 'racing', 'labelerbikeskysocial', 'motorcycle', 'label', 'pro', 'subscribe']","['Trending Pro Cycling chatter from across Bluesky.\r\nSee @labeler.radial.racing to get a label.\r\nPost with #procycling or any rider, team or race keyword in your post or alt-text to be included.', 'Pro Cycling videos from across Bluesky 🎥 🚴🚴\u200d♀️🚴\u200d♂️.\r\nSee @labeler.radial.racing to get a label.\r\nPost with #procycling or any rider, team or race keyword in your post or alt-text to be included.', 'Trending Pro Cycling videos from across Bluesky 🎥 🚴🚴\u200d♀️🚴\u200d♂️.\r\nSee @labeler.radial.racing to get a label.\r\nPost with #procycling or any rider, team or race keyword in your post or alt-text to be included.']"
51,103,51_posted_bluesky_blueskyfeedcreatorcom_mis,"['posted', 'bluesky', 'blueskyfeedcreatorcom', 'mis', 'ive', 'art', 'drawings', 'compilation', 'trabajos', 'artadjacent']","['All of my art posted to Bluesky.', 'All of my art posted to Bluesky', 'My art, posted here on Bluesky~']"
52,102,52_medsky_reverse_curation_medskysocial,"['medsky', 'reverse', 'curation', 'medskysocial', 'healthcare', 'field', 'workers', 'chronological', 'order', 'medicine']","['A Medsky feed for healthcare workers in the field of Addiction Medicine. Use keywords #AddictionMed or #HarmReduction to have posts included on the feed.\r\n\r\nUsers with @medsky.social Addiction Medicine labels will be added to curation list.\r\n\r\nPosts in reverse chronological order.', ""A Medsky Clips feed for healthcare workers in the field of Emergency Medicine and EM subspecialties. Keywords include Emergency Medicine, EMsky, EMedSky.\r\n\r\nUsers with @medsky.social's EM-related labels will be added to curation list.\r\n\r\nPosts in reverse chronological order."", 'A Medsky Clips feed for healthcare workers in the field of Addiction Medicine. Use keywords #AddictionMed or #HarmReduction to have posts included on the feed.\r\n\r\nUsers with @medsky.social Addiction Medicine labels will be added to curation list.\r\n\r\nPosts in reverse chronological order.']"
53,101,53_iqdblabelerbskysocial_autogenerated_hair_colored,"['iqdblabelerbskysocial', 'autogenerated', 'hair', 'colored', 'shirt', 'character', 'thighs', 'wearing', 'sleeves', 'eyes']","['Hair that has more than one color. All hair colors present should be tagged, if possible.\n\nAuto-generated by @iqdb-labeler.bsky.social', 'Hair that covers either eye. Typically associated with shy or mysterious characters. For the case where both eyes are covered, use hair over eyes.\n\nAuto-generated by @iqdb-labeler.bsky.social', 'The hub for all hairstylists, hair inspo, and all hair related content.']"
54,100,54_whole_network_brother_bb27,"['whole', 'network', 'brother', 'bb27', 'big', 'bb25', 'bb26', 'bblf', '27', 'gossip']","['Posts with #ai from the whole network', 'Posts with #community from the whole network', 'Posts with #art from the whole network']"
55,100,55_anime_manga_ships_ship,"['anime', 'manga', 'ships', 'ship', 'matsuoka', 'iwatobi', 'eimiko', 'rin', 'utau', 'animemanga']","[""A feed for seeing the top posts of the day about different anime news from different anime news outlets.\n\n@ me if you have another anime news outlet you'd like me to add."", 'Anything and everything Anime/Manga! Posting manga panels and anime screenshots. Anime/Manga news is included as well!\n\nBlueskyFeedCreator.com', 'A feed of posts about anime and manga']"
56,99,56_pixel_pixelart_art_crafts,"['pixel', 'pixelart', 'art', 'crafts', 'anim', 'masterpieces', 'timelapses', 'oldest', 'puppets', 'design']","['Pixel art! Mostly for game stuff 👀', 'Custom feed for myself of pixel art from pixel artists I like.', 'A feed dedicated to pixel art.']"
57,98,57_ffxiv_dragon_gpose_age,"['ffxiv', 'dragon', 'gpose', 'age', 'screenshots', 'xillia', 'artemio', 'dragons', 'ffxvi', 'fae']","['For anything FFXIV related!', 'FFXIV art feed, the SFW and non-trigger edition. This is handdrawn or handmade art, not screenshots or gpose. To be included, tag both ffxiv AND art on the post. \n\nAlso picks up ffxiv artist, ffxiv commission, ffxiv comic. EXCLUDES gpose, mod, screenshot, xivafterdark, sensual, nsfw, cw, tw', 'FFXIV art feed, including NSFW. MAY CONTAIN SQUICKS OR TRIGGERS. This is handdrawn or handmade art, not screenshots or gpose. To be included, tag both ffxiv AND art on the post. \n\nAlso picks up ffxiv artist, ffxiv commission, ffxiv comic. EXCLUDES gpose, mod, screenshot.']"
58,97,58_birding_birds_bird_birdwatching,"['birding', 'birds', 'bird', 'birdwatching', 'sightings', 'hybrids', 'gift', 'nyt', 'ireland', 'irish']","['Birds & birding in The New Forest, Hampshire\n#hantsbirds #hantsbirdnews #hantsbirdalert #birds #birding #birdwatching #newforest #nature #wildlife', 'Birds & birding at BBOWT College Lake, Buckinghamshire.\n#birds #birding #birdwatching #CollegeLake #bucksbirds #bucksbirdnews #bucksbirdalert #wildlife #nature', 'Birds & birding in Buckinghamshire\n#bucksbirds #bucksbirdnews #bucksbirdalert #birds #birding #birdwatching #chilterns #nature #wildlife']"
59,96,59_cosplay_furry_cosplays_anthro,"['cosplay', 'furry', 'cosplays', 'anthro', 'knotting', 'endoonly', 'heraldic', 'fursona', 'bara', 'reuploads']","['A feed for cosplay images', 'A feed of just my cosplay posts.', 'A feed about cosplay!']"
60,95,60_haiku_poems_poetry_de,"['haiku', 'poems', 'poetry', 'de', 'les', 'un', 'dominatrix', 'boston', 'pour', 'para']","['Poetry feed bringing daily poetry tags sorted randomly for exposure. Tags include:\npoetry, poem, haiku, vss365,  poetrycommunity, poetsofbluesky, 7syllablesentence', 'this is a feed of original poetry for the past 7 days-- only poems written by the poster. No haikus, no prompts, no poems of famous poets reposted, no self promotion. Only poems from the author!', 'haiku replies to the #haikufeels poetry prompt']"
61,94,61_tristantristangaylordcom_2025_2024_hehe,"['tristantristangaylordcom', '2025', '2024', 'hehe', 'curates', 'automatically', 'creations', 'excluded', 'issues', 'contact']","['December 2024 art! Mostly #oc and #pokemon stuff hehe🤸🧃', 'October 2025 art! Mostly #oc and #pokemon stuff hehe🤸🧃', 'May 2025 art! Mostly #oc and #pokemon stuff hehe🤸🧃']"
62,93,62_skeets_skeet_oneskies_likes,"['skeets', 'skeet', 'oneskies', 'likes', 'crab', 'cybertruck', 'dont', 'skeeting', 'reskeets', 'trash']","['me and who skeets', 'My skeets', 'My skeets']"
