Topic,Count,Name,Representation,Representative_Docs,Total_Likes,Average_Likes
9,286,9_education_science_teachers_educators,"['education', 'science', 'teachers', 'educators', 'learning', 'biology', 'teaching', 'schools', 'research', 'tech']","['A feed for those interested in following posts related to Computer Science in Education.', 'education feed', ', teacher educators, and education researchers interested in progressive education, innovative schools, and play-based learning. #progressiveeducation']",6000,20.98
10,275,10_httpsbluefactsappfeedbuilder_controversies_create_own,"['httpsbluefactsappfeedbuilder', 'controversies', 'create', 'own', 'political', 'commentary', 'discussing', 'legal', 'covering', 'his']","['Posts discussing controversies and political commentary surrounding Homan, including critiques of policies and public statements.\n\nCreate your own feed with https://bluefacts.app/feed-builder', 'Curated posts covering Donald Trump, including legal debates, policy challenges, and political commentary.\n\nCreate your own feed with https://bluefacts.app/feed-builder', 'Posts discussing controversies, political actions, and commentary involving the U.S. political figure Mike Johnson.\n\nCreate your own feed with https://bluefacts.app/feed-builder']",751,2.73
11,270,11_news_journalists_breaking_sources,"['news', 'journalists', 'breaking', 'sources', 'reuters', 'journalism', 'uk', 'times', 'bbc', 'bloomberg']","['news', 'News', 'News']",10394,38.5
12,241,12_collection_art_posted_my,"['collection', 'art', 'posted', 'my', 'artworks', 'place', 'ive', 'artwork', 'all', 'of']","['a collection of all my art posts 🌈', 'A collection of all my art posts.', 'Collection of all my art posts']",596,2.47
13,233,13_blueskyfeedcreatorcom_blueskyfeedscom_made_at,"['blueskyfeedcreatorcom', 'blueskyfeedscom', 'made', 'at', 'stargate', 'sqrls', 'rockstar', 'feed', 'aka', 'is']","['A feed for tiny creatures! Collects #Borrowers, #Fairies, #GroundedGame, #HouseholdRPG, #Lilliputian, #Minish, #Mouseguard, #Mouseland, #Redwall, #SecretOfNimh, #WindInTheWillows, and variations.\r\nThis a SFW feed. \r\nInfo here: blueskyfeedcreator.com/p/minizens.bsky.social/minizens', 'Sqrls Sqrls Sqrls alternative feed for Z., for when the main one is not working. Picks up:\n\n#sqrlpix\n#sqrlpic\n#squirrelpix\n#squirrelsofbluesky\n#squirrelphotography\n#blueskysquirrels\n#squirrelsaturday', 'Stargate Feed for all things Stargate. Stargate SG-1, Stargate Atlantis, Stargate Universe and beyond. // Made at BlueskyFeeds.com']",2012,8.64
14,223,14_ai_ainfts_sfw_art,"['ai', 'ainfts', 'sfw', 'art', 'ui', 'artists', 'generative', 'spicy', 'filters', 'aigenerated']","[""See what's hot in art by human artists! Filters out AI/NFTs. Use #art to post. Pulls from a growing list of popular art related hashtags. Please Pin, Like and Share to help the feed get discovered!"", 'Art-feed||NSFW Art|| No Ai  No NFTs || Sorted by time || Still some photos in here, not sure how to reduce it to only art || Problems? Suggestions? - Let me know', 'AI Art']",21097,94.61
15,216,15_ps5pro_cultofthelamb_cult_clip,"['ps5pro', 'cultofthelamb', 'cult', 'clip', 'hoshiyomi', 'nekoshowgun', 'synduality', 'photographic', 'lamb', 'japanese']","['Rise of the Tomb Raiderだよ！\n#RiseoftheTombRaider /PS5Pro', 'Tomb Raider Definitive Editionだよ！\n#TombRaiderDefinitiveEdition /PS5Pro', 'Cult of the lambのカスタムフィードです。\n以下の文に反応します。Japanese Only\n\nCult of the Lamb cult of the lamb cultofthelamb Cultofthelamb 子羊教団 カルトオブザラムCult_of_the_lamb cult_of_the_lamb Cult of the lumb Cult of the Lumb Cult_of_the_Lumb cultofthelumb']",726,3.36
16,197,16_plant_plants_gardening_fishing,"['plant', 'plants', 'gardening', 'fishing', 'botany', 'fish', 'marine', 'flowers', 'science', 'garden']","['A Feed to compile posts on the history of plant science. Hashtags indexed:\n\n#PlantScienceHistory|#PlantSciHis|#HistoricalPlantScience|#PlantScienceClassics|#HistPlantBio|#HistBioPlant\n\nPlant Science Plant Biology', 'A quick feed hoping to aggregate all plant science, plant biology, botany, and agronomy posts on Bluesky!  Remember to tag your post with both the 🌾 and 🧪emojis!\nThese words will also tag your post in the feed: plant biology, agronomy, botany, plant science, chloroplast, photosynthesis, chlorophyll', 'Feed about Botany and Plant Research.']",33455,169.82
17,196,17_art_traditional_mediums_momoko,"['art', 'traditional', 'mediums', 'momoko', 'artonly', 'peach', 'only', 'feed', 'notart', 'charcoal']","[""Aidaita's Art Feed"", ""Kingsevil's art feed"", ""rollinrabbit's art feed""]",775,3.95
18,186,18_surfsocial_created_powered_flipboard,"['surfsocial', 'created', 'powered', 'flipboard', 'with', 'surf', 'surffeeds', 'voices', 'contribute', 'shorezone']","['Music\n\nCreated with surf.social', '試験運用: fedibirdハッシュタグを含む投稿です\n\nCreated with surf.social', 'news\n\nCreated with surf.social']",779,4.19
19,186,19_democracy_politics_overwhelmed_resistance,"['democracy', 'politics', 'overwhelmed', 'resistance', 'refresh', 'responsible', 'fascism', 'against', 'back', 'offensive']","['Election Political Polls \nPublic Opinion \nBluesky Social Feed. \n\nCheck out my Elections and Voting Rights Feeds. \n\nIf this Feed is Overwhelmed and Refresh does not work, Check Back Later and Enjoy one of my Other Feeds. \n \nNonEndorsing Curation. \nNot Responsible for Off-Topic or Offensive Content.', 'Elections \nBluesky Social Feed. \n\nCheck out my Voting Rights Feed.\n \nIf this Feed is Overwhelmed and Refresh does not work, Check Back Later and Enjoy one of my Other Feeds. \n \nNonEndorsing Curation. \nNot Responsible for Off-Topic or Offensive Content.', ""USA Politics\nConstituents Resistance\nBluesky Social Feed.\n\nCheckout my Other Protests Feed.\n\nIf this Feed is Overwhelmed & Refresh Doesn't Work, Check Back Later. \n \nNon-Endorsing Curation.\nNot Responsible for Offensive, Off-Topic or InAppropriate Content.""]",4024,21.63
20,186,20_baseball_nfl_httpsbluefactsappfeedbuilder_mlb,"['baseball', 'nfl', 'httpsbluefactsappfeedbuilder', 'mlb', 'highlights', 'create', 'team', 'own', 'plays', 'player']","['baseball accounts that I follow', 'Updates and highlights for the Blue Jays baseball team including game results, key plays, and insights.\n\nCreate your own feed with https://bluefacts.app/feed-builder', 'Latest updates, news, and fan commentary about the Chicago Cubs baseball team. Discuss game details, wins, and player highlights.\n\nCreate your own feed with https://bluefacts.app/feed-builder']",2184,11.74
21,185,21_blueskyfeedcreatorcom_listy_otters_girls,"['blueskyfeedcreatorcom', 'listy', 'otters', 'girls', 'choo', '5cp', 'wax', 'calla', '6s', 'moving']","['listy listy listy\n\nBlueskyFeedCreator.com', 'The gang is back at it again, moving forward in love... but moving backwards in friendship.\n\nBlueskyFeedCreator.com', 'Following the lives of Hayden Jr. and Tiffany Naylor as they try to find themselves while balancing crushes, friendship, school, and parties.\n\nBlueskyFeedCreator.com']",456,2.46
22,183,22_booksky_books_book_fiction,"['booksky', 'books', 'book', 'fiction', 'reading', 'nonfiction', 'literary', 'readers', 'authors', 'bookskyclublist']","[""A feed for anyone who likes reading and books. Share what you're reading with us by using 💙📚 or #booksky in your posts. More #booksky feeds 👉🏻 booksky.club/list"", ""A feed for anyone who likes reading and books. Share what you're reading with us by using 💙📚 or #booksky in your posts. More #booksky feeds 👉🏻 booksky.club/list"", 'a book feed for all literary fiction readers, authors, and books.']",34209,186.93
23,173,23_photography_photographers_blueskyfeedcreatorcom_bluesky,"['photography', 'photographers', 'blueskyfeedcreatorcom', 'bluesky', 'divcreativocom', 'blueskyfeedscom', 'artists', 'featured', 'posted', 'fashion']","[""A feed of bluesky's cosplay and costume photographers\n\nTo be added you need to\n1. Be the photographer of the content you share\n2. Mostly post cosplay or costume photography\n3. Properly tag any suggesstive content you share (this feed is SFW)"", 'An aggregate feed from our curated #photography lists, showcasing the work of selected Bluesky photographers.\r\n\r\nThis feed is sorted by new posts.', 'A feed of all the photography I post to my own Bluesky feed.']",39612,228.97
24,164,24_comic_comics_coop_strip,"['comic', 'comics', 'coop', 'strip', 'pages', 'strips', 'manga', 'librarypass', 'book', 'read']","['A feed for all of my comics!', 'Feed Comics', 'Feed of the comic']",843,5.14
25,151,25_ai_intelligence_artificial_ufo,"['ai', 'intelligence', 'artificial', 'ufo', 'machine', 'ufosky', 'learning', 'automation', 'ufos', 'tech']","['Android Dreams\nPost using #android_dreams\nA feed about AI (Artificial Intelligence), AGI (Artificial General Intelligence), SAGI (Super Artificial General Intelligence) and other posts about human, machine intelligence, or other lifeforms, e.g., cephalopods, mammals, etc..', 'Artificial intelligence and machine learning', 'Posts with AI']",1316,8.72
26,145,26_nsfw_sfw_both_art,"['nsfw', 'sfw', 'both', 'art', 'warned', 'artists', 'atropines', 'contains', 'artwork', 'masked']","['For all of my art — ️SFW + NSFW', 'All of my art SFW & NSFW', 'All of my NSFW art!']",1310,9.03
27,133,27_christianity_christian_jesus_bible,"['christianity', 'christian', 'jesus', 'bible', 'faith', 'christians', 'esv', 'catholic', 'church', 'religion']","['See what both Protestant and Catholic Christians are saying about Jesus, the Bible, God’s love, faith, grace, and more. Get encouragement, hope, and insights!\n\n""Whoever believes in him should not perish but have eternal life."" - John 3:16b (ESV)\n\n#Christianity #Bible #Jesus', 'Here are some popular Christian themed posts to ponder!\n\n#Christianity #Bible #Jesus', 'See what Catholic & Orthodox Christians are saying about Jesus, the Bible, God’s love, faith, grace, and more. Get encouragement, hope, and insights into the Christian life.\n\n""Whoever believes in him should not perish but have eternal life."" - John 3:16b (ESV)\n\n#Christianity #Bible #Jesus #Catholic']",1308,9.83
28,129,28_football_fc_united_league,"['football', 'fc', 'united', 'league', 'club', 'liverpool', 'arsenal', 'match', 'premier', 'manchester']","['This feed is all about football! Stay updated with the latest news, match updates, and transfer gossip from the world of football', 'Feed focused on English Premier League Football posts across BlueSky\r\n\r\nPosts with #EPL and club hashtags will appear on the feed', 'All things Liverpool Football Club']",2676,20.74
29,123,29_japanese_japan_period_plave,"['japanese', 'japan', 'period', 'plave', 'food', 'onf', 'en', 'samurai', 'languageshololive', 'vmax']","['Posts about Japan in non-Japanese language.', 'Japanese Posts', 'Posts mentioning on Japan or Japanese people.']",1316,10.7
30,121,30_cat_cats_pictures_pics,"['cat', 'cats', 'pictures', 'pics', 'videos', 'pets', 'dogs', 'adorable', 'photos', 'feline']","['Cat Videos - Enjoy videos of #cats including pets, street cats, and big cats! 😺 Based on cat-related keywords, hashtags, alt text, and ML classification.\r\n\r\nFiltered to remove art, spam, NSFW, spam, reposted content, and other irrelevant videos.\r\n\r\n💡Discover - mix of trending and new posts. Created w 🐮', 'Cat Videos - Enjoy videos of pet #cats, street cats, and big cats! 😺 Based on cat-related keywords, hashtags, and alt text.\r\n\r\nFiltered to remove art, spam, NSFW, reposted content, and other irrelevant videos. \r\n\r\n🆕 New - chronological posts. Feed created with @graze.social 🐮', 'Cat Pictures - Enjoy pictures of #cats including pets, street cats, and big cats! 😺 Based on cat-related keywords, hashtags, alt-text, and ML classification.\r\n\r\nFiltered to remove art, NSFW, spam, offensive, and other irrelevant content.\r\n\r\n🆕New - chronological posts. Feed created with @graze.social 🐮']",1581,13.07
31,119,31_cycling_bikes_racing_bike,"['cycling', 'bikes', 'racing', 'bike', 'bikesky', 'labelerbikeskysocial', 'motorcycle', 'label', 'pro', 'race']","['Trending Pro Cycling chatter from across Bluesky.\r\nSee @labeler.radial.racing to get a label.\r\nPost with #procycling or any rider, team or race keyword in your post or alt-text to be included.', 'Pro Cycling videos from across Bluesky 🎥 🚴🚴\u200d♀️🚴\u200d♂️.\r\nSee @labeler.radial.racing to get a label.\r\nPost with #procycling or any rider, team or race keyword in your post or alt-text to be included.', 'Trending Pro Cycling videos from across Bluesky 🎥 🚴🚴\u200d♀️🚴\u200d♂️.\r\nSee @labeler.radial.racing to get a label.\r\nPost with #procycling or any rider, team or race keyword in your post or alt-text to be included.']",2518,21.16
32,118,32_knitting_crochet_patterns_sewing,"['knitting', 'crochet', 'patterns', 'sewing', 'yarn', 'embroidery', 'stitch', 'fiber', 'knit', 'pattern']","['Crochet & Knit feed 2.\n\nFeed that only shows photos of actual crochet and knitting projects. All photos have alt text for accessibility.\n\nPicks up the usual craft emojis 🧶 AND only posts with these terms in Alt Texts: \nCrochet\nKnit\nTunisian crochet', 'My knitting, crochet, and other craft projects', 'Feed for people who love weaving, knitting, crochet, embroidery, and other fiber arts.']",3927,33.28
33,117,33_weather_australian_flooding_urbanism,"['weather', 'australian', 'flooding', 'urbanism', 'australia', 'disaster', 'disasters', 'rain', 'tropical', 'risk']","['This feed is for posts relating to flooding in the Australia.', 'This feed is for posts relating to flooding in the Australian state of Western Australia (WA).', 'This feed is for posts relating to flooding in the Australian state of South Australia (SA).']",1510,12.91
34,117,34_skyfeed_skyfeedapp_builder_skyblur,"['skyfeed', 'skyfeedapp', 'builder', 'skyblur', 'skybluruk', 'built', 'httpsskyfeedapp', 'using', 'matte', 'created']","['a test  feed for skyfeed.app', 'test feed with ""skyfeed"" posts', 'Art by me\nCreated in Skyfeed']",838,7.16
35,116,35_birding_birds_bird_irish,"['birding', 'birds', 'bird', 'irish', 'birdwatching', 'ireland', 'sightings', 'wildlife', 'hybrids', 'capture']","['Birds & birding at BBOWT College Lake, Buckinghamshire.\n#birds #birding #birdwatching #CollegeLake #bucksbirds #bucksbirdnews #bucksbirdalert #wildlife #nature', 'Birds & birding in Buckinghamshire\n#bucksbirds #bucksbirdnews #bucksbirdalert #birds #birding #birdwatching #chilterns #nature #wildlife', 'Birds & birding in the Malmö area of Sweden...\n#Malmö #Skåne #Öresund #birds #fåglar #fågel #birding #birdwatching #wildlife #nature']",1142,9.84
36,116,36_nsfw_sfw_art_ainft,"['nsfw', 'sfw', 'art', 'ainft', 'miisty', 'miinii', '10m', 'kinks', 'artists', 'spicy']","['my nsfw art feed 👍', 'A feed of my art. NSFW', 'A feed of my NSFW art.']",2559,22.06
37,114,37_fics_hololive_fanart_ao3,"['fics', 'hololive', 'fanart', 'ao3', 'holoen', 'subfeed', 'holoid', 'deltarune', 'megafeed', 'trials']","['Feed focused on hololive Indonesia fanart. \n\nThis feed tracks ID fanart hashtags, screening for AI and unlabeled nsfw. \n\nThis subfeed will be a part of a hololive production topic megafeed.\n\n#hololive #holoID #hololiveIndonesia', 'my fics on ao3 :)', 'All my fics posted to AO3']",1003,8.8
38,114,38_programming_rust_typescript_software,"['programming', 'rust', 'typescript', 'software', 'web', 'language', 'javascript', 'rustlang', 'opensource', 'devops']","['Things about programming', 'A feed with programming related posts.', 'Posts about the programming language.']",1694,14.86
39,110,39_mutuals_people_replies_friends,"['mutuals', 'people', 'replies', 'friends', 'iaccs', 'miss', 'listuserdidmutuals', 'follow', 'listuserdidfollowers', 'listuserdidfollowingfollowing']","['these are friends and mutuals who skeet much less frequently than some of my other friends. want to not miss them', 'Mutuals, friends, or cool people I just like following.', 'mutuals with replies']",6335,57.59
40,106,40_place_can_where_find,"['place', 'can', 'where', 'find', 'here', 'view', 'art', 'easy', 'my', 'artwork']","['Where you can find all my art!', 'where you can find all of my art!', 'A place where you can see all the art I made!']",533,5.03
41,106,41_tagged_animations_arpg_art,"['tagged', 'animations', 'arpg', 'art', 'myart', 'tag', 'artwork', 'vrchat', 'listed', 'graphicmedicine']","['All of my art (tagged with 👻🦈)', 'All my art posts! Tagged with 🖼️', 'All my art tagged with #art!']",628,5.92
42,103,42_2025_2024_hehe_year,"['2025', '2024', 'hehe', 'year', 'attacks', '2023', 'artfight', 'pokemon', 'october', '2022']","['April 2025 art! Mostly #oc and #pokemon stuff hehe🤸🧃', 'May 2025 art! Mostly #oc and #pokemon stuff hehe🤸🧃', 'October 2025 art! Mostly #oc and #pokemon stuff hehe🤸🧃']",1420,13.79
43,101,43_cooking_recipes_food_recipe,"['cooking', 'recipes', 'food', 'recipe', 'baking', 'meals', 'foodsky', 'bread', 'delicious', 'chefs']","[""From the creator of What's Cooking and What We're Eating comes a brand new, video-only feed! Feed tracks top cooking and food related hashtags such as #baking #cooking #recipe #foodsky #breadsky #sourdough #foodblog #homebrew #foodie #fermentation and more."", 'Just recipes!  \nUsing tags like #recipe, #baking, #cooking, etc\n\n(ver 20250914.1)', 'Cooking and Food.']",1156,11.45
44,99,44_horror_mtg_squid_hades,"['horror', 'mtg', 'squid', 'hades', 'scary', 'games', 'horrorlit', 'destiny2', 'romance', 'movie']","['A feed for specific accounts that post about, or create content related to, horror romance or romantic horror. Picks up the tags #horrorromance, #horroromance, and #horrormance as well as the emoji string 💜😱 !', 'Horror movie chat. Picks up references to HorrorSky, #Horror, various horror movie terms or names, or the 📽️ projector emoji alongside one of these: 👻🧛☠️💀🔪🎃🧟. Posts need at least one like to qualify!', 'Bite Size Horror is a short but sweet review series where I let everyone, from those just getting into horror to avid horror enjoyers, know which games they should check out and how scary they really are.']",2971,30.01
45,97,45_iqdblabelerbskysocial_autogenerated_hair_colored,"['iqdblabelerbskysocial', 'autogenerated', 'hair', 'colored', 'character', 'thighs', 'sleeves', 'eyes', 'when', 'teeth']","['Hair that has more than one color. All hair colors present should be tagged, if possible.\n\nAuto-generated by @iqdb-labeler.bsky.social', 'Hair that covers either eye. Typically associated with shy or mysterious characters. For the case where both eyes are covered, use hair over eyes.\n\nAuto-generated by @iqdb-labeler.bsky.social', 'The hub for all hairstylists, hair inspo, and all hair related content.']",67,0.69
46,97,46_artwork_preraphaelite_art_my,"['artwork', 'preraphaelite', 'art', 'my', 'artworks', 'iwish', 'easy', 'easier', 'amaruuk', 'enjoy']","['A feed of all my artwork.', 'A feed for all of my artwork!', 'Art feed of all my artwork']",347,3.58
47,96,47_black_blacksky_add_space,"['black', 'blacksky', 'add', 'space', 'promote', 'gensousky', 'educated', 'soles', 'we', 'brotherhood']","['**Welcome to Black Lemon Our Space for Black Screenwriters and Actors Collective!**\n\nJoin our vibrant community of Black Screenwriters and Actors! Here, we collaborate, share, and unite in our passion for storytelling. Ready to bring your story to life? Share your skills!', 'Black Readers and Black Authors celebrating BLACK books!\r\n\r\nUse #BlackBookSky to add to the feed\n\nBlueskyFeedCreator.com', 'Books by Black authors']",42079,438.32
48,95,48_testing_test_trial_v2,"['testing', 'test', 'trial', 'v2', 'creation', 'ignore', '0156', '789', 'ffanzufeed', 'needteststuff']","['Testing', 'Testing', 'Testing']",40,0.42
49,94,49_characters_original_character_designs,"['characters', 'original', 'character', 'designs', 'deities', 'project', 'concept', 'charactes', 'httpskoficomsoturisi', 'httpswwwpatreoncomsoturisi']","['Artwork featuring my original characters', ""Cubesona's original art, including character designs I made myself AND original characters!"", 'Art/content of my original characters']",268,2.85
50,93,50_lore_wolqotd_her_answers,"['lore', 'wolqotd', 'her', 'answers', 'gposes', 'gpose', 'warrior', 'rabbit', 'ennersval', 'artemio']","['All the lore ✧', 'My Warrior of Light: Inari 🐚\nFeed will contain gposes, lore, wolqotd answers, commissions, etc.', 'My Warrior of Light: Emrhys 🌙\nFeed will contain gposes, lore, wolqotd answers, commissions, etc.']",359,3.86
51,92,51_blueskyfeedscom_made_at_ultralight,"['blueskyfeedscom', 'made', 'at', 'ultralight', 'wizard', 'hiking', 'bo', 'beocord', 'beovox', 'beomaster']","['Ultralight hiking and ultralight hiking gear.   // Made at BlueskyFeeds.com', 'Vintage Bang & Olufsen (B&O) chatter from around BlueSky, including Beogram, Beocord, Beovox, Beomaster, and more.\n\nBlueskyFeedCreator.com', ""For all techno deejays, producers and everyone who just loves Detroit's finest artform. Boing, boom tschak! //Made at BlueskyFeeds.com""]",161,1.75
52,92,52_queer_trans_lgbtqia_lgbtq,"['queer', 'trans', 'lgbtqia', 'lgbtq', 'lgbt', 'httpswwwrainbowrevelrylgbtbskyfeeds', 'transgender', 'rainbow', 'gender', 'books']","['A feed for posts about Queer SFFH books, by which I mean books with a queer MC (and quite likely a queer author).\n\nPicks up posts with a combination of the Queer Bookworms, SFF and Horror Book Feed emojis: 🌈📚🪐 😱📚 and or some LGBTQIA and or SFFH keywords. eg. #QueerBooks & #FantasyBooks etc.', 'A feed dedicated to queer Vermont. To be included, posts must include VT or Vermont and either gay, queer, lesbian, trans, LGBT, or LGBTQIA+', 'a feed dedicated for queer representation in the fandom. Queer oc, queer art, queer shipping, queer writing - anything! \nall queer is welcomed, mlm, wlw, bi/pan, non binary, trans, all queer! \n\n#bg3queer']",4537,49.32
53,88,53_blueskyfeedscom_made_at_madonna,"['blueskyfeedscom', 'made', 'at', 'madonna', 'xpan', 'mew', 'probando', 'wholesale', 'costco', 'bob']","[""Any mention of the word 'Madonna'\nIt's supposed to be about the queen of pop."", 'A collection of everything Xoan (Hasselblad Xpan) #xpan #hasselbladxpan #fujitx1 //Made at BlueskyFeeds.com', 'Everything on Bluesky about Costco Wholesale and Kirkland Signature products. \nPosts, pics, cool finds, etc. \n\nNo affiliation with Costco Wholesale. This is a fan ran and automated feed // Made at BlueskyFeeds.com']",255,2.9
54,87,54_ocs_oc_info_main,"['ocs', 'oc', 'info', 'main', 'sheets', 'my', 'ooc', 'facts', 'orc', 'meet']","['My OCs', 'My OCs!', 'My OCs <3']",206,2.37
55,86,55_skeets_oneskies_cybertruck_crab,"['skeets', 'oneskies', 'cybertruck', 'crab', 'skeet', 'dont', 'skeeting', 'reskeets', 'trash', 'ones']","['me and who skeets', 'My skeets', 'My skeets']",300,3.49
56,83,56_instead_bsky_ranboo_deprecated,"['instead', 'bsky', 'ranboo', 'deprecated', 'ranboolive', 'httpsbskyappprofilereireidotbskysocialpost3law3gkpimc2z', 'githubcomnaim94abskyfeed', 'redgifs', 'httpsbskyappprofileunpivotshowbskysocial', 'backup']","['Use the following feed instead:\n\nhttps://bsky.app/profile/fwfeeds.bsky.social/feed/aaajmy3nongz4', 'Deprecated. Use this one instead:\nhttps://bsky.app/profile/aaronsojourner.org/feed/econjmp', 'A feed for all things Ranboo! Posts containing ""ranboo"", ""#ranboo"", ""ranboolive"", and ""#ranboolive"" // Icon Art by @kingthedumb.bsky.social']",1346,16.22
57,82,57_furry_removes_draw_drawn,"['furry', 'removes', 'draw', 'drawn', 'anthro', 'knotting', 'artists', 'commissions', 'paw', 'fursonas']","['Just my furry art!', 'My NSFW Furry Art', 'All my furry art!']",245,2.99
58,82,58_gallery_jazzaaros_mks108_asura,"['gallery', 'jazzaaros', 'mks108', 'asura', 'portfolio', 'art', 'my', 'ahad', 'wondaland', 'mokeport']","['My art gallery.', 'my art gallery !', 'My art gallery 🎨']",207,2.52
59,82,59_medsky_reverse_curation_medskysocial,"['medsky', 'reverse', 'curation', 'medskysocial', 'healthcare', 'workers', 'field', 'chronological', 'order', 'medicine']","[""A Medsky Clips feed for healthcare workers in the field of Emergency Medicine and EM subspecialties. Keywords include Emergency Medicine, EMsky, EMedSky.\r\n\r\nUsers with @medsky.social's EM-related labels will be added to curation list.\r\n\r\nPosts in reverse chronological order."", 'A Medsky feed for healthcare workers in the field of Addiction Medicine. Use keywords #AddictionMed or #HarmReduction to have posts included on the feed.\r\n\r\nUsers with @medsky.social Addiction Medicine labels will be added to curation list.\r\n\r\nPosts in reverse chronological order.', 'A Medsky Clips feed for healthcare workers in the field of Addiction Medicine. Use keywords #AddictionMed or #HarmReduction to have posts included on the feed.\r\n\r\nUsers with @medsky.social Addiction Medicine labels will be added to curation list.\r\n\r\nPosts in reverse chronological order.']",2588,31.56
60,81,60_de_da_spanish_le,"['de', 'da', 'spanish', 'le', 'les', 'un', 'para', 'sobre', 'en', 'pour']","['Feed du blog Mardiphilo.fr géré par Patrick Moulin alias @dsirmtcom // Made at BlueskyFeeds.com', 'Un feed sur le Cyberpunk, le Dieselpunk, le Steampunk et même de GiscardPunk  // Made at BlueskyFeeds.com', 'Posts de Bluesky en español // Bluesky posts in Spanish']",3413,42.14
